Date,ABT,ABBV,ABMD,A,ALXN,ALGN,AGN,ABC,AMGN,ANTM,BAX,BDX,BIIB,BSX,BMY,CAH,CNC,CERN,CI,COO,CVS,DHR,DVA,XRAY,EW,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,ISRG,IQV,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,PKI,PRGO,PFE,DGX,REGN,RMD,STE
2015-01-02 00:00:00,44.90000153,65.88999939,37.31000137,40.56000137,186.6000061,56.20000076,259.1300049,90.45999908,159.8899994,125.4599991,39.82075119,139.8600006,342.0100098,13.22000027,59.50999832,80.51000214,26.11000061,65.02999878,102.8300018,160.6100006,95.09999847,64.98862457,75.83000183,51.93000031,63.86000061,94.91000366,73.97000122,53.66274643,26.37999916,142.9900055,73.66500092,185.4199982,73.76000214,175.1900024,59.11000061,104.5199966,111.4199982,70.05999756,207.1999969,71.87999725,57.18999863,301.9500122,56.34999847,44.09000015,166.6300049,31.32999992,68.97000122,410.1600037,57.16999817,65.16000366
2015-01-05 00:00:00,44.90999985,64.65000153,37.06999969,39.79999924,182.1699982,56.99000168,256.6900024,89.69000244,157.9900055,123.2600021,38.83215714,140.7200012,336.7399902,13.81000042,58.58000183,80.05000305,26.04000092,64.16999817,101.0599976,159.3699951,94.16000366,64.34420013,74.69999695,51.56999969,63.88999939,96.79000092,71.80999756,53.18039322,26.12000084,139.1999969,73.15499878,190.7200012,74.22000122,171.456665,58.40999985,103.7900009,112.3899994,69.37000275,208.8999939,71.58000183,58.04000092,295.4500122,55.72000122,43.04999924,164.9100037,31.15999985,67.27999878,412.4700012,57.06000137,64.51000214
2015-01-06 00:00:00,44.40000153,64.33000183,36.13000107,39.18000031,177.9499969,57.45000076,255.1699982,90.18000031,152.8999939,124.9400024,38.62574768,140.4499969,334.6499939,13.69999981,58.47999954,79.19000244,26.125,63.52000046,101.4599991,157.1199951,94.23000336,63.90447235,73.62000275,50.93000031,63.50999832,97.65000153,71.69000244,52.8705864,25.75,139.0899963,73.38999939,188.3099976,71.48999786,173.2633362,57.06999969,103.2799988,110.5999985,69.72000122,208.4199982,71.22000122,60.31999969,291.1199951,54.18000031,42.65999985,164.6000061,31.42000008,66.26999664,396.8900146,56.65000153,64.55000305
2015-01-07 00:00:00,44.75999832,66.93000031,37.27999878,39.70000076,187.9299927,59.56999969,265.230011,91.98000336,158.2400055,125.5599976,38.81042862,143.7400055,353.2399902,14.02999973,59.24000168,82.02999878,26.26749992,64.19000244,103.8399963,162.2200012,95.93000031,64.29113007,74.29000092,52.25,65,99.48000336,72.98999786,54.33333206,26.39999962,141.7299957,74.87000275,194.9199982,74.44999695,174.2133331,57.77000046,105.5599976,112.5400009,69.23000336,214.75,73,61.61000061,296.4899902,56.11000061,42.91999817,167.3500061,31.85000038,67.11000061,407.7200012,57.02999878,65.06999969
2015-01-08 00:00:00,45.68000031,67.62999725,38.95999908,40.88999939,183.8000031,61.43999863,268.9599915,92.19000244,157.6699982,131.5500031,39.81531906,146.3600006,350.25,14.59000015,60.72000122,84.55999756,26.67250061,65.59999847,109.1299973,162.8800049,97.97000122,65.28430939,75.76999664,53.54000092,66.57499695,102.3000031,74.93000031,55.09803772,27.11000061,147.8300018,75.41500092,196.8200073,73.20999908,177.6666718,59.20000076,106.3899994,115.5699997,70.87000275,217.1999969,74.75,62.84999847,300.7200012,56.65000153,44,171.1699982,32.5,68.87999725,403.25,57.99000168,66.77999878
2015-01-09 00:00:00,45.20000076,65.77999878,38.40999985,40.59000015,184.2700043,62.58000183,268.6799927,93,155.7299957,129.8000031,39.3155899,144.6300049,342.3399963,14.64999962,60.31999969,83.83999634,26.46750069,64.94999695,108,161.8600006,97.91999817,64.8445816,75.22000122,52.75999832,66.58000183,102.2099991,74.65000153,55.37647247,26.76000023,146.75,74.99500275,194.8000031,72.02999878,173.6233368,58.81999969,104.9400024,116,69.93000031,216.6699982,74.40000153,62.56000137,299.2799988,55.84000015,43.54999924,169.75,32.65000153,68.38999939,411.0400085,58.15999985,66.05000305
2015-01-12 00:00:00,45.58000183,65.76000214,38.56000137,40.11000061,183.3600006,63.16999817,272.2799988,90.93000031,156.2200012,128.8300018,39.50027084,143.5599976,347.8399963,14.57999992,62.18000031,82.80999756,26.19750023,64.79000092,106.1800003,161.1100006,97.19999695,64.04093933,74.41999817,52.25999832,67.64499664,101.2099991,72.19999695,54.84705734,28.72999954,145.5099945,75.63500214,190.1000061,73.30000305,175.1699982,59.06000137,104.5800018,115.8399963,69.41999817,214.6600037,74.47000122,62.29999924,296.3200073,55.27000046,43.43999863,169.3200073,32.77000046,68.09999847,413.3299866,58.68999863,64.77999878
2015-01-13 00:00:00,44.61000061,63.38999939,38.81000137,39.54999924,179.2100067,62.65000153,269.8999939,91.63999939,155.1399994,130.2799988,39.09288406,141.7200012,352.7399902,14.5,63.11999893,82.5,26.68000031,65.26999664,106.8300018,161.1199951,97.23999786,63.94996262,74.54000092,52.09999847,66.80999756,97.20999908,72.13999939,54.72156906,28.78000069,146.8399963,78,185.0899963,76.18000031,173.886673,59.49000168,104.7600021,115.8600006,69.37999725,214.6499939,72.79000092,62.18999863,296.6400146,55.47999954,43.38999939,163.7899933,32.43999863,67.91999817,406.4899902,59.83000183,64.77999878
2015-01-14 00:00:00,44.27999878,63.70000076,38.25,39.06000137,175.3999939,61.06000137,266.4200134,92.09999847,155.1600037,131.8099976,38.9625206,140.8099976,348.75,14.5,62.95000076,81.94999695,26.66250038,64.68000031,107.4400024,160.6499939,97.33000183,62.94162369,74.69000244,51.34000015,65.83499908,99.26000214,70.45999908,54.54509735,28.98999977,147.5500031,80.22499847,182.4100037,75.77999878,178.4533386,59.09999847,104,114.75,69.76000214,213.5299988,71.76999664,62.63999939,297.1900024,54.59000015,42.95000076,162.6900024,32.47999954,68.12999725,404.3099976,60.31999969,64.16999817
2015-01-15 00:00:00,43.95000076,62.88999939,37.11000061,38.00999832,172.8699951,59.63000107,263.75,91.40000153,151.9199982,134.0899963,38.82672501,140.6699982,339.8800049,14.31000042,61.63000107,80.84999847,26.72249985,64.06999969,106.8600006,159.6900024,97.16999817,62.1910553,74.45999908,50.59000015,64.29499817,97.40000153,70.06999969,54.05490112,28.76000023,147.9199982,79.16500092,180.9100037,72.90000153,174.793335,59.04000092,102.4899979,114.9199982,69.73999786,211.3000031,71.90000153,61.88000107,289.0899963,52.74000168,42.79999924,158.5099945,32.40000153,67.51999664,397.1199951,60.27000046,63.27999878
